,Timestamp,Open,High,Low,Close,Volume
377,2018-05-05 17:00:00,823.0,826.03,811.16,812.98,4802.93528
378,2018-05-05 18:00:00,812.39,816.0,807.0,812.0,7295.12168
379,2018-05-05 19:00:00,812.0,816.1,811.41,812.67,2247.72532
380,2018-05-05 20:00:00,812.67,813.5,803.86,805.0,4513.28211
381,2018-05-05 21:00:00,805.01,809.97,799.61,808.26,6033.78073
382,2018-05-05 22:00:00,808.26,821.21,807.4,814.0,4556.9929
383,2018-05-05 23:00:00,814.0,820.55,813.6,819.5,2411.1128
384,2018-05-06 00:00:00,819.5,831.59,818.62,831.1,6986.91361
385,2018-05-06 01:00:00,831.1,839.77,829.5,839.5,6171.54438
386,2018-05-06 02:00:00,839.5,839.99,830.6,832.97,5344.12323
387,2018-05-06 03:00:00,832.97,837.8,827.36,828.15,3909.08675
388,2018-05-06 04:00:00,828.15,831.21,816.48,818.99,4376.24848
389,2018-05-06 05:00:00,818.96,820.18,802.65,802.65,10678.83315
390,2018-05-06 06:00:00,803.78,803.79,776.26,796.74,22097.23563
391,2018-05-06 07:00:00,796.74,804.99,791.3,800.39,8204.0647
392,2018-05-06 08:00:00,800.39,800.4,777.05,780.1,9186.68341
393,2018-05-06 09:00:00,780.02,785.09,775.03,782.12,7687.90146
394,2018-05-06 10:00:00,782.49,794.4,781.38,785.02,6438.46423
395,2018-05-06 11:00:00,785.02,785.03,770.0,774.07,7587.17113
396,2018-05-06 12:00:00,774.05,775.45,752.49,773.48,18114.41136
397,2018-05-06 13:00:00,772.94,785.46,769.11,777.28,6774.27576
398,2018-05-06 14:00:00,777.28,784.0,772.06,779.9,6499.4776
399,2018-05-06 15:00:00,779.1,782.37,768.26,774.97,5598.32327
400,2018-05-06 16:00:00,775.0,791.25,774.66,788.5,6352.6493
401,2018-05-06 17:00:00,788.49,795.29,786.9,790.55,6595.36891
402,2018-05-06 18:00:00,790.55,791.84,781.38,784.47,4035.0336
403,2018-05-06 19:00:00,783.74,786.99,780.0,780.4,2421.37794
404,2018-05-06 20:00:00,780.4,786.01,776.52,778.48,3727.71716
405,2018-05-06 21:00:00,778.48,787.29,776.75,786.58,1535.98579
406,2018-05-06 22:00:00,787.0,795.0,786.15,791.49,3931.13047
407,2018-05-06 23:00:00,791.49,796.83,787.0,794.3,2617.1387
408,2018-05-07 00:00:00,794.3,799.14,775.01,776.12,5636.59188
409,2018-05-07 01:00:00,776.53,780.7,755.0,763.0,18133.2311
410,2018-05-07 02:00:00,763.0,763.49,745.71,753.99,12175.51168
411,2018-05-07 03:00:00,753.64,759.0,741.23,758.87,10843.41101
412,2018-05-07 04:00:00,758.81,762.97,752.94,753.79,9175.14424
413,2018-05-07 05:00:00,753.79,759.9,747.1,756.79,7080.24662
414,2018-05-07 06:00:00,757.2,758.99,748.0,756.0,4970.82683
415,2018-05-07 07:00:00,756.0,756.0,730.0,738.02,13485.5969
416,2018-05-07 08:00:00,736.98,752.0,728.42,742.89,17081.71105
417,2018-05-07 09:00:00,742.87,742.87,705.47,706.61,27634.10496
418,2018-05-07 10:00:00,705.49,725.0,705.46,722.21,14791.39916
419,2018-05-07 11:00:00,722.99,736.18,716.87,733.0,9995.91824
420,2018-05-07 12:00:00,733.0,743.85,726.51,731.26,11798.2182
421,2018-05-07 13:00:00,731.26,732.12,710.0,711.48,14209.27538
422,2018-05-07 14:00:00,712.0,723.01,701.0,718.28,20389.02551
423,2018-05-07 15:00:00,718.0,733.0,717.01,729.84,12875.04301
424,2018-05-07 16:00:00,729.84,733.76,725.51,732.88,9865.10026
425,2018-05-07 17:00:00,732.04,749.93,731.0,737.76,13750.26804
426,2018-05-07 18:00:00,738.53,748.69,737.59,746.39,6571.21431
427,2018-05-07 19:00:00,746.04,761.95,744.5,758.0,11813.72242
428,2018-05-07 20:00:00,758.0,762.46,749.85,761.27,6658.52877
429,2018-05-07 21:00:00,761.36,766.87,748.41,751.42,10420.73461
430,2018-05-07 22:00:00,751.42,753.0,735.12,740.88,9757.00518
431,2018-05-07 23:00:00,741.51,757.0,740.69,752.49,5125.23392
432,2018-05-08 00:00:00,753.0,763.89,752.49,762.97,5955.98169
433,2018-05-08 01:00:00,763.85,776.5,762.71,770.5,10479.73174
434,2018-05-08 02:00:00,770.01,777.0,768.2,768.97,6238.70931
435,2018-05-08 03:00:00,768.97,773.81,762.57,771.5,5050.97769
436,2018-05-08 04:00:00,771.55,773.0,765.08,767.0,3100.27638
437,2018-05-08 05:00:00,767.23,767.4,751.3,752.69,7431.70248
438,2018-05-08 06:00:00,752.69,760.03,747.23,755.0,6300.3216
439,2018-05-08 07:00:00,755.0,762.5,754.79,761.07,3136.26878
440,2018-05-08 08:00:00,761.07,762.24,756.18,759.44,3438.65743
441,2018-05-08 09:00:00,760.0,760.39,735.0,742.33,10414.2343
442,2018-05-08 10:00:00,741.84,751.92,739.0,744.09,6831.59028
443,2018-05-08 11:00:00,744.09,744.2,727.98,728.01,10061.61356
444,2018-05-08 12:00:00,728.01,740.24,720.02,736.55,11720.10731
445,2018-05-08 13:00:00,736.13,742.91,728.5,729.3,6296.54767
446,2018-05-08 14:00:00,729.3,738.67,729.0,733.14,5005.57304
447,2018-05-08 15:00:00,733.14,738.02,730.0,737.47,4062.32922
448,2018-05-08 16:00:00,737.47,738.47,732.0,732.92,2884.10248
449,2018-05-08 17:00:00,733.0,741.71,731.55,735.74,3566.52744
450,2018-05-08 18:00:00,735.33,749.99,725.76,746.0,6940.26512
451,2018-05-08 19:00:00,746.74,751.71,744.23,750.7,4105.52232
452,2018-05-08 20:00:00,750.28,750.37,739.44,740.74,2869.47856
453,2018-05-08 21:00:00,740.74,748.99,740.0,747.49,2206.5405
454,2018-05-08 22:00:00,747.5,757.47,747.45,753.41,3647.21225
455,2018-05-08 23:00:00,753.41,759.05,746.12,748.99,3361.92506
456,2018-05-09 00:00:00,748.99,750.75,740.0,741.0,3757.60045
457,2018-05-09 01:00:00,740.78,744.67,740.0,742.5,2322.62983
458,2018-05-09 02:00:00,742.5,743.73,725.0,726.15,6803.23077
459,2018-05-09 03:00:00,726.15,728.27,715.68,719.71,9785.88906
460,2018-05-09 04:00:00,720.0,724.5,710.26,724.32,10544.02306
461,2018-05-09 05:00:00,724.16,726.0,716.38,724.0,4606.77792
462,2018-05-09 06:00:00,724.0,726.9,721.74,725.0,3106.37817
463,2018-05-09 07:00:00,725.0,726.03,717.0,718.22,2456.20274
464,2018-05-09 08:00:00,718.27,729.99,718.21,727.77,4250.29692
465,2018-05-09 09:00:00,727.43,735.5,726.76,731.0,4825.54553
466,2018-05-09 10:00:00,730.8,748.3,729.54,742.0,5047.72523
467,2018-05-09 11:00:00,742.0,748.8,738.01,743.96,7445.61973
468,2018-05-09 12:00:00,743.49,752.04,742.3,748.19,5758.47478
469,2018-05-09 13:00:00,748.28,750.1,743.39,745.0,3104.25185
470,2018-05-09 14:00:00,745.0,749.38,741.1,749.16,3209.38463
471,2018-05-09 15:00:00,749.16,752.08,745.78,748.67,3340.442
472,2018-05-09 16:00:00,748.51,752.83,748.3,751.0,3046.56384
473,2018-05-09 17:00:00,751.0,760.74,748.29,752.25,9933.17509
474,2018-05-09 18:00:00,752.0,757.51,749.0,749.72,3205.52345
475,2018-05-09 19:00:00,750.05,752.67,744.5,750.09,4276.07811
476,2018-05-09 20:00:00,749.51,757.5,745.11,745.34,2939.14084
477,2018-05-09 21:00:00,745.11,750.0,743.96,749.0,3088.98264
478,2018-05-09 22:00:00,749.0,755.5,748.69,750.91,3403.40998
479,2018-05-09 23:00:00,750.91,752.85,747.0,751.75,2096.03096
